195/975 FEASIBLE 0.3s (4, 2) r4c1-r5c1-r5c2-r6c2-r7c2-r7c3
196/975 FEASIBLE 0.5s (4, 2) r4c1-r5c1-r5c2-r6c2-r7c2-r8c2
197/975 FEASIBLE 0.5s (4, 2) r4c1-r5c1-r6c1-r6c2-r7c2-r7c1
198/975 FEASIBLE 0.4s (4, 2) r4c1-r5c1-r6c1-r6c2-r7c2-r7c3
199/975 FEASIBLE 0.3s (4, 2) r4c1-r5c1-r6c1-r6c2-r7c2-r8c2
200/975 FEASIBLE 0.7s (3, 3) r4c1-r5c1-r6c1-r7c1-r7c2-r7c3
201/975 FEASIBLE 0.6s (3, 3) r4c1-r5c1-r6c1-r7c1-r7c2-r8c2
202/975 FEASIBLE 0.4s (3, 3) r4c1-r5c1-r6c1-r7c1-r8c1-r8c2
203/975 infeasible 0.4s (3, 3) r4c1-r5c1-r6c1-r7c1-r8c1-r9c1
204/975 FEASIBLE 0.3s (4, 2) r4c2-r4c1-r5c1-r6c1-r7c1-r7c2
205/975 FEASIBLE 0.4s (4, 2) r4c2-r4c1-r5c1-r6c1-r7c1-r8c1
206/975 FEASIBLE 0.4s (3, 3) r4c2-r4c3-r5c3-r5c4-r5c5-r5c6
207/975 infeasible 0.3s (3, 3) r4c2-r4c3-r5c3-r5c4-r5c5-r6c5
208/975 infeasible 0.3s (3, 3) r4c2-r4c3-r5c3-r5c4-r6c4-r6c5
209/975 infeasible 0.3s (4, 2) r4c2-r4c3-r5c3-r6c3-r6c4-r5c4
210/975 infeasible 0.2s (4, 2) r4c2-r4c3-r5c3-r6c3-r6c4-r6c5
211/975 infeasible 0.9s (4, 1, 1) r4c2-r4c3-r5c3-r6c3-r6c4-r7c4
212/975 infeasible 0.2s (4, 2) r4c2-r4c3-r5c3-r6c3-r7c3-r7c2
213/975 infeasible 0.2s (4, 1, 1) r4c2-r4c3-r5c3-r6c3-r7c3-r7c4
214/975 infeasible 0.2s (4, 2) r4c2-r4c3-r5c3-r6c3-r7c3-r8c3
215/975 FEASIBLE 0.4s (4, 2) r4c2-r5c2-r5c1-r6c1-r7c1-r7c2
216/975 FEASIBLE 0.3s (4, 2) r4c2-r5c2-r5c1-r6c1-r7c1-r8c1
217/975 FEASIBLE 0.4s (3, 3) r4c2-r5c2-r5c3-r5c4-r5c5-r5c6
218/975 infeasible 0.3s (3, 3) r4c2-r5c2-r5c3-r5c4-r5c5-r6c5
219/975 infeasible 0.4s (3, 3) r4c2-r5c2-r5c3-r5c4-r6c4-r6c5
220/975 FEASIBLE 0.4s (4, 2) r4c2-r5c2-r5c3-r6c3-r6c4-r5c4
221/975 infeasible 0.3s (4, 2) r4c2-r5c2-r5c3-r6c3-r6c4-r6c5
222/975 FEASIBLE 0.3s (4, 1, 1) r4c2-r5c2-r5c3-r6c3-r6c4-r7c4
223/975 infeasible 0.2s (4, 2) r4c2-r5c2-r5c3-r6c3-r7c3-r7c2
224/975 infeasible 0.2s (4, 1, 1) r4c2-r5c2-r5c3-r6c3-r7c3-r7c4
225/975 infeasible 0.2s (4, 2) r4c2-r5c2-r5c3-r6c3-r7c3-r8c3
226/975 FEASIBLE 0.5s (4, 2) r4c2-r5c2-r6c2-r6c1-r7c1-r7c2
227/975 FEASIBLE 0.5s (4, 2) r4c2-r5c2-r6c2-r6c1-r7c1-r8c1
228/975 FEASIBLE 0.4s (4, 2) r4c2-r5c2-r6c2-r6c3-r6c4-r5c4
229/975 FEASIBLE 0.3s (4, 2) r4c2-r5c2-r6c2-r6c3-r6c4-r6c5
230/975 FEASIBLE 0.2s (4, 1, 1) r4c2-r5c2-r6c2-r6c3-r6c4-r7c4
231/975 infeasible 0.2s (4, 2) r4c2-r5c2-r6c2-r6c3-r7c3-r7c2
232/975 infeasible 0.2s (4, 1, 1) r4c2-r5c2-r6c2-r6c3-r7c3-r7c4
233/975 infeasible 0.2s (4, 2) r4c2-r5c2-r6c2-r6c3-r7c3-r8c3
234/975 FEASIBLE 1.3s (3, 3) r4c2-r5c2-r6c2-r7c2-r7c1-r8c1
235/975 infeasible 0.4s (3, 3) r4c2-r5c2-r6c2-r7c2-r7c3-r8c3
236/975 FEASIBLE 0.5s (3, 3) r4c2-r5c2-r6c2-r7c2-r8c2-r8c1
237/975 infeasible 0.4s (3, 3) r4c2-r5c2-r6c2-r7c2-r8c2-r8c3
238/975 infeasible 0.4s (3, 3) r4c2-r5c2-r6c2-r7c2-r8c2-r9c2
239/975 FEASIBLE 0.2s (4, 2) r4c3-r4c2-r5c2-r5c3-r5c4-r5c5
240/975 FEASIBLE 0.5s (4, 2) r4c3-r4c2-r5c2-r5c3-r5c4-r6c4
