260/1021 infeasible 0.2s (4, 2) r4c2-r4c3-r5c3-r6c3-r7c3-r8c3
261/1021 FEASIBLE 0.3s (4, 2) r4c2-r5c2-r5c1-r6c1-r7c1-r7c2
262/1021 FEASIBLE 0.5s (4, 2) r4c2-r5c2-r5c1-r6c1-r7c1-r8c1
263/1021 FEASIBLE 0.4s (3, 3) r4c2-r5c2-r5c3-r5c4-r5c5-r5c6
264/1021 infeasible 0.4s (3, 3) r4c2-r5c2-r5c3-r5c4-r5c5-r6c5
265/1021 infeasible 0.4s (3, 3) r4c2-r5c2-r5c3-r5c4-r6c4-r6c5
266/1021 FEASIBLE 0.4s (4, 2) r4c2-r5c2-r5c3-r6c3-r6c4-r5c4
267/1021 infeasible 0.3s (4, 2) r4c2-r5c2-r5c3-r6c3-r6c4-r6c5
268/1021 FEASIBLE 0.3s (4, 1, 1) r4c2-r5c2-r5c3-r6c3-r6c4-r7c4
269/1021 infeasible 0.2s (4, 2) r4c2-r5c2-r5c3-r6c3-r7c3-r7c2
270/1021 infeasible 0.2s (4, 1, 1) r4c2-r5c2-r5c3-r6c3-r7c3-r7c4
271/1021 infeasible 0.2s (4, 2) r4c2-r5c2-r5c3-r6c3-r7c3-r8c3
272/1021 FEASIBLE 0.5s (4, 2) r4c2-r5c2-r6c2-r6c1-r7c1-r7c2
273/1021 FEASIBLE 0.4s (4, 2) r4c2-r5c2-r6c2-r6c1-r7c1-r8c1
274/1021 FEASIBLE 0.4s (4, 2) r4c2-r5c2-r6c2-r6c3-r6c4-r5c4
275/1021 FEASIBLE 0.4s (4, 2) r4c2-r5c2-r6c2-r6c3-r6c4-r6c5
